Date,Exercise,Category,Weight (lbs),Reps,Distance,Distance Unit,Time
2015-01-16,Barbell Squat,Legs,110.0,3,,,
2015-01-16,Dumbbell Lunge,Legs,60.0,5,,,
2015-01-16,Dumbbell Lunge,Legs,70.0,5,,,
2015-01-16,Dumbbell Lunge,Legs,80.0,5,,,
2015-01-16,Dumbbell Lunge,Legs,100.0,5,,,
2015-01-16,Rope Push Down,Triceps,30.0,5,,,
2015-01-16,Rope Push Down,Triceps,50.0,5,,,
2015-01-16,Rope Push Down,Triceps,57.5,5,,,
2015-01-16,Rope Push Down,Triceps,57.5,6,,,
2015-01-16,Rope Push Down,Triceps,65.0,5,,,
2015-01-16,EZ-Bar Skullcrusher,Triceps,35.0,5,,,
2015-01-16,EZ-Bar Skullcrusher,Triceps,45.0,5,,,
2015-01-16,EZ-Bar Skullcrusher,Triceps,55.0,5,,,
2015-01-16,EZ-Bar Skullcrusher,Triceps,65.0,5,,,
2015-01-16,EZ-Bar Skullcrusher,Triceps,0.0,5,,,
2015-01-16,Parallel Bar Triceps Dip,Triceps,0.0,8,,,
2015-01-16,Parallel Bar Triceps Dip,Triceps,0.0,8,,,
2015-01-16,Parallel Bar Triceps Dip,Triceps,0.0,8,,,
2015-01-16,Parallel Bar Triceps Dip,Triceps,0.0,8,,,
2015-01-16,Parallel Bar Triceps Dip,Triceps,0.0,8,,,
2015-01-18,Hanging Leg Raise,Abs,0.0,15,,,
2015-01-18,Hanging Leg Raise,Abs,0.0,15,,,
2015-01-18,Hanging Leg Raise,Abs,0.0,15,,,
2015-01-18,Decline Crunch,Abs,0.0,15,,,
2015-01-18,Decline Crunch,Abs,0.0,15,,,
2015-01-18,Decline Crunch,Abs,0.0,15,,,
2015-01-18,Crunch,Abs,0.0,15,,,
2015-01-18,Crunch,Abs,0.0,15,,,
2015-01-18,Crunch,Abs,0.0,15,,,
2015-01-18,Barbell Twist,Abs,60.0,15,,,
2015-01-18,Barbell Twist,Abs,70.0,15,,,
2015-01-18,Barbell Twist,Abs,80.0,11,,,
2015-01-18,Barbell Twist,Abs,80.0,15,,,
2015-01-18,Overhead Press,Shoulders,0.0,5,,,
2015-01-18,Overhead Press,Shoulders,20.0,5,,,
2015-01-18,Extended Arm Raise + 90 Degree Arm Raise,Shoulders,10.0,15,,,
2015-01-18,Extended Arm Raise + 90 Degree Arm Raise,Shoulders,10.0,15,,,
2015-01-18,Extended Arm Raise + 90 Degree Arm Raise,Shoulders,10.0,15,,,
2015-01-18,Dumbbell Shrug,Shoulders,50.0,8,,,
2015-01-18,Dumbbell Shrug,Shoulders,60.0,8,,,
2015-01-18,Dumbbell Shrug,Shoulders,0.0,8,,,
2015-01-18,Dumbbell Shrug,Shoulders,0.0,8,,,
2015-01-18,Dumbbell Shrug,Shoulders,0.0,8,,,
2015-01-19,Deadlift,Back,90.0,5,,,
2015-01-19,Deadlift,Back,140.0,5,,,
2015-01-19,Deadlift,Back,190.0,3,,,
2015-01-19,Deadlift,Back,180.0,4,,,
2015-01-19,Deadlift,Back,180.0,5,,,
2015-01-19,Deadlift,Back,180.0,5,,,
2015-01-19,Deadlift,Back,140.0,5,,,
2015-01-19,Barbell Row,Back,0.0,5,,,
2015-01-19,Barbell Row,Back,50.0,5,,,
2015-01-19,Barbell Row,Back,70.0,5,,,
2015-01-19,Barbell Row,Back,90.0,7,,,
2015-01-19,Barbell Row,Back,100.0,5,,,
2015-01-19,Barbell Row,Back,100.0,5,,,
2015-01-19,Barbell Row,Back,100.0,5,,,
2015-01-19,Pull Up,Back,0.0,7,,,
2015-01-19,Pull Up,Back,0.0,6,,,
2015-01-19,Pull Up,Back,0.0,5,,,
