Date,Exercise,Category,Weight (lbs),Reps,Distance,Distance Unit,Time
2015-09-09,Flat Barbell Bench Press,Chest,110.0,2,,,
2015-09-09,Barbell Curl,Biceps,40.0,10,,,
2015-09-09,Cable Crossover,Chest,10.0,10,,,
2015-09-09,Dumbbell Hammer Curl,Biceps,50.0,5,,,
2015-09-09,Barbell Curl,Biceps,60.0,5,,,
2015-09-09,Dumbbell Hammer Curl,Biceps,60.0,5,,,
2015-09-09,Incline Dumbbell Bench Press,Chest,90.0,5,,,
2015-09-09,Dumbbell Hammer Curl,Biceps,70.0,4,,,
2015-09-09,Barbell Curl,Biceps,75.0,3,,,
2015-09-09,Incline Dumbbell Bench Press,Chest,100.0,5,,,
2015-09-09,Cable Crossover,Chest,15.0,10,,,
2015-09-09,Barbell Curl,Biceps,70.0,3,,,
2015-09-09,Cable Crossover,Chest,20.0,10,,,
2015-09-09,Dumbbell Hammer Curl,Biceps,70.0,4,,,
2015-09-11,Barbell Front Squat,Legs,50.0,8,,,
2015-09-11,Close Grip Barbell Bench Press,Triceps,30.0,5,,,
2015-09-11,Barbell Front Squat,Legs,90.0,3,,,
2015-09-11,Barbell Front Squat,Legs,90.0,2,,,
2015-09-11,Barbell Front Squat,Legs,90.0,4,,,
2015-09-11,Close Grip Barbell Bench Press,Triceps,50.0,5,,,
2015-09-11,Close Grip Barbell Bench Press,Triceps,70.0,5,,,
2015-09-11,Close Grip Barbell Bench Press,Triceps,70.0,7,,,
2015-09-11,Dumbbell Lunge,Legs,60.0,5,,,
2015-09-11,Close Grip Barbell Bench Press,Triceps,70.0,6,,,
2015-09-11,Dumbbell Lunge,Legs,80.0,5,,,
2015-09-11,Dumbbell Lunge,Legs,100.0,3,,,
2015-09-11,Rope Push Down,Triceps,65.0,1,,,
2015-09-11,Rope Push Down,Triceps,50.0,10,,,
2015-09-11,Dumbbell Lunge,Legs,100.0,4,,,
2015-09-11,Rope Push Down,Triceps,57.5,10,,,
2015-09-11,Rope Push Down,Triceps,65.0,1,,,
2015-09-12,Overhead Press,Shoulders,0.0,5,,,
2015-09-12,Overhead Press,Shoulders,40.0,8,,,
2015-09-12,Hanging Leg Raise,Abs,0.0,15,,,
2015-09-12,Overhead Press,Shoulders,70.0,3,,,
2015-09-12,Overhead Press,Shoulders,50.0,5,,,
2015-09-12,Hanging Leg Raise,Abs,0.0,15,,,
2015-09-12,Overhead Press,Shoulders,60.0,3,,,
2015-09-12,Hanging Leg Raise,Abs,0.0,15,,,
2015-09-12,Overhead Press,Shoulders,60.0,2,,,
2015-09-12,Decline Crunch,Abs,25.0,15,,,
2015-09-12,Overhead Dumbbell Press,Shoulders,30.0,7,,,
2015-09-12,Decline Crunch,Abs,25.0,15,,,
2015-09-12,Overhead Dumbbell Press,Shoulders,40.0,6,,,
2015-09-12,Decline Crunch,Abs,25.0,12,,,
2015-09-12,Overhead Dumbbell Press,Shoulders,50.0,2,,,
2015-09-12,Side Dip,Abs,30.0,10,,,
2015-09-12,Dumbbell Shrug,Shoulders,70.0,8,,,
2015-09-12,Side Dip,Abs,40.0,10,,,
2015-09-12,Dumbbell Shrug,Shoulders,80.0,8,,,
2015-09-12,Dumbbell Shrug,Shoulders,70.0,8,,,
2015-09-12,Side Dip,Abs,50.0,10,,,
2015-09-12,Side Dip,Abs,60.0,10,,,
2015-09-12,Dumbbell Shrug,Shoulders,70.0,8,,,
2015-09-12,Dumbbell Shrug,Shoulders,70.0,8,,,
2015-09-12,Side Dip,Abs,60.0,10,,,
2015-09-14,Deadlift,Back,90.0,5,,,
2015-09-14,Deadlift,Back,50.0,5,,,
2015-09-14,Deadlift,Back,140.0,5,,,
2015-09-14,Deadlift,Back,140.0,6,,,
2015-09-14,Deadlift,Back,140.0,5,,,
2015-09-14,Deadlift,Back,160.0,3,,,
2015-09-14,Barbell Row,Back,0.0,5,,,
2015-09-14,Barbell Row,Back,50.0,10,,,
2015-09-14,Barbell Row,Back,90.0,8,,,
2015-09-14,Pull Up,Back,0.0,5,,,
2015-09-14,Barbell Row,Back,90.0,7,,,
2015-09-14,Barbell Row,Back,50.0,12,,,
2015-09-14,Pull Up,Back,0.0,7,,,
2015-09-14,Barbell Row,Back,50.0,12,,,
2015-09-14,Pull Up,Back,0.0,6,,,
2015-09-16,Flat Barbell Bench Press,Chest,0.0,10,,,
2015-09-16,Flat Barbell Bench Press,Chest,50.0,10,,,
2015-09-16,Flat Barbell Bench Press,Chest,100.0,5,,,
2015-09-16,Flat Barbell Bench Press,Chest,110.0,3,,,
2015-09-16,Flat Barbell Bench Press,Chest,115.0,3,,,
2015-09-16,Flat Barbell Bench Press,Chest,115.0,2,,,
2015-09-16,Flat Barbell Bench Press,Chest,90.0,8,,,
2015-09-16,Barbell Curl,Biceps,30.0,8,,,
2015-09-16,Incline Dumbbell Bench Press,Chest,80.0,5,,,
2015-09-16,Barbell Curl,Biceps,50.0,8,,,
2015-09-16,Incline Dumbbell Bench Press,Chest,100.0,5,,,
2015-09-16,Barbell Curl,Biceps,75.0,3,,,
2015-09-16,Barbell Curl,Biceps,75.0,3,,,
